accession_code,assembly_level
GCA_001051895.1,Contig
GCA_013343025.1,Chromosome
GCA_014645875.1,Contig
GCA_030014025.1,Complete Genome
GCF_000174735.1,Contig
GCF_000183685.1,Scaffold
GCF_000247085.1,Contig
GCF_000269685.1,Contig
GCF_000556525.1,Scaffold
GCF_001051905.1,Contig
GCF_001051915.1,Contig
GCF_001068715.1,Scaffold
GCF_001068725.1,Scaffold
GCF_001069485.1,Contig
GCF_001070775.1,Scaffold
GCF_001070895.1,Scaffold
GCF_001071235.1,Scaffold
GCF_001071725.1,Contig
GCF_001072955.1,Contig
GCF_001072965.1,Scaffold
GCF_001073185.1,Scaffold
GCF_001073815.1,Scaffold
GCF_001073975.1,Contig
GCF_001074645.1,Contig
GCF_001077055.1,Scaffold
GCF_001077185.1,Scaffold
GCF_001297105.1,Contig
GCF_001658765.1,Contig
GCF_001691635.1,Scaffold
GCF_001807795.1,Scaffold
GCF_001808085.1,Scaffold
GCF_001809205.1,Scaffold
GCF_001809305.1,Scaffold
GCF_001809605.1,Scaffold
GCF_001809735.1,Scaffold
GCF_001809815.1,Scaffold
GCF_001809845.1,Scaffold
GCF_001809865.1,Scaffold
GCF_001811375.1,Scaffold
GCF_001812765.1,Scaffold
GCF_001812925.1,Scaffold
GCF_001813045.1,Scaffold
GCF_001813345.1,Scaffold
GCF_001813735.1,Scaffold
GCF_001814125.1,Scaffold
GCF_001815595.1,Scaffold
GCF_001835895.1,Scaffold
GCF_001836125.1,Scaffold
GCF_001886335.1,Contig
GCF_002026385.1,Scaffold
GCF_002156675.1,Contig
GCF_002799365.1,Contig
GCF_002799525.1,Contig
GCF_002850375.1,Complete Genome
GCF_002860985.1,Scaffold
GCF_002901845.1,Scaffold
GCF_002951505.1,Complete Genome
GCF_002954105.1,Chromosome
GCF_003042305.1,Contig
GCF_003042335.1,Contig
GCF_003579635.1,Contig
GCF_003716315.1,Contig
GCF_003812505.1,Complete Genome
GCF_004365845.1,Scaffold
GCF_005502385.1,Contig
GCF_007004175.1,Contig
GCF_007004245.1,Contig
GCF_007004385.1,Contig
GCF_007004605.1,Contig
GCF_007671825.1,Scaffold
GCF_007671855.1,Scaffold
GCF_007672005.1,Scaffold
GCF_007672065.1,Scaffold
GCF_007672085.1,Scaffold
GCF_007672105.1,Scaffold
GCF_007672115.1,Scaffold
GCF_007672225.1,Scaffold
GCF_007672245.1,Scaffold
GCF_007672435.1,Scaffold
GCF_007672535.1,Scaffold
GCF_007676475.1,Scaffold
GCF_007676505.1,Scaffold
GCF_007676535.1,Scaffold
GCF_007676545.1,Scaffold
GCF_007676585.1,Scaffold
GCF_007678465.1,Scaffold
GCF_007681325.1,Scaffold
GCF_007681385.1,Scaffold
GCF_007681475.1,Scaffold
GCF_007681605.1,Scaffold
GCF_007681635.1,Scaffold
GCF_007681695.1,Scaffold
GCF_007681755.1,Scaffold
GCF_007681775.1,Scaffold
GCF_007681825.1,Scaffold
GCF_007681865.1,Contig
GCF_007681935.1,Scaffold
GCF_007681955.1,Scaffold
GCF_007814725.1,Complete Genome
GCF_009663945.1,Contig
GCF_009730115.1,Complete Genome
GCF_009730135.1,Complete Genome
GCF_009897275.1,Contig
GCF_012102295.1,Contig
GCF_012273435.1,Chromosome
GCF_012843365.1,Contig
GCF_013267575.1,Complete Genome
GCF_013364435.1,Chromosome
GCF_014204615.1,Scaffold
GCF_014264985.1,Scaffold
GCF_014264995.1,Contig
GCF_014265005.1,Scaffold
GCF_014265015.1,Scaffold
GCF_014265025.1,Scaffold
GCF_014265085.1,Contig
GCF_014265095.1,Scaffold
GCF_014265115.1,Scaffold
GCF_014265125.1,Scaffold
GCF_014265215.1,Contig
GCF_014265735.1,Scaffold
GCF_014266385.1,Contig
GCF_014266505.1,Contig
GCF_014266525.1,Scaffold
GCF_014266705.1,Contig
GCF_014266895.1,Scaffold
GCF_014266935.1,Scaffold
GCF_014267295.1,Scaffold
GCF_015274535.1,Contig
GCF_015274585.1,Contig
GCF_015274655.1,Contig
GCF_015274675.1,Contig
GCF_016428605.1,Scaffold
GCF_016623665.1,Scaffold
GCF_017315625.1,Contig
GCF_017315645.1,Contig
GCF_017742685.2,Scaffold
GCF_018373535.1,Contig
GCF_018408065.1,Contig
GCF_018456105.1,Contig
GCF_018919365.1,Contig
GCF_019149255.1,Contig
GCF_020740025.1,Contig
GCF_020740045.1,Contig
GCF_020740115.1,Contig
GCF_021188735.1,Contig
GCF_021188875.1,Contig
GCF_021366525.1,Contig
GCF_021366635.1,Contig
GCF_021366695.1,Contig
GCF_021366975.1,Contig
GCF_021497065.1,Complete Genome
GCF_022689565.1,Contig
GCF_022689575.1,Contig
GCF_022689615.1,Contig
GCF_022689645.1,Contig
GCF_022689665.1,Contig
GCF_022689675.1,Contig
GCF_022689705.1,Contig
GCF_022689725.1,Contig
GCF_022689745.1,Contig
GCF_022689765.1,Contig
GCF_022689775.1,Contig
GCF_022689785.1,Contig
GCF_022689825.1,Contig
GCF_022689845.1,Contig
GCF_022689855.1,Contig
GCF_022689905.1,Contig
GCF_022689945.1,Contig
GCF_022689965.1,Contig
GCF_022689975.1,Contig
GCF_022690005.1,Contig
GCF_022690025.1,Contig
GCF_022690045.1,Contig
GCF_022690065.1,Contig
GCF_022690105.1,Contig
GCF_022690115.1,Contig
GCF_022690145.1,Contig
GCF_022690165.1,Contig
GCF_022690185.1,Contig
GCF_022690205.1,Contig
GCF_022690225.1,Contig
GCF_022690245.1,Contig
GCF_022690265.1,Contig
GCF_022690275.1,Contig
GCF_022690295.1,Contig
GCF_022690325.1,Contig
GCF_022690345.1,Contig
GCF_022690375.1,Contig
GCF_022690385.1,Contig
GCF_022690425.1,Contig
GCF_022693345.1,Complete Genome
GCF_022695885.1,Contig
GCF_022695935.1,Contig
GCF_023148975.1,Scaffold
GCF_023277465.1,Complete Genome
GCF_023712685.1,Contig
GCF_024586465.1,Contig
GCF_025143205.1,Contig
GCF_025143445.1,Contig
GCF_025143615.1,Contig
GCF_025558605.1,Complete Genome
GCF_027689095.1,Scaffold
GCF_027689115.1,Scaffold
GCF_027689165.1,Scaffold
GCF_027689215.1,Scaffold
GCF_027689245.1,Scaffold
GCF_027689395.1,Scaffold
GCF_027689655.1,Scaffold
GCF_027689675.1,Scaffold
GCF_029926865.1,Contig
GCF_029926905.1,Contig
GCF_029926915.1,Contig
GCF_030217525.1,Contig
GCF_030225055.1,Contig
GCF_030503475.1,Contig
GCF_030503485.1,Contig
GCF_030503505.1,Contig
GCF_030503545.1,Contig
GCF_030540895.1,Contig
GCF_030715945.1,Contig
GCF_900006675.1,Contig
GCF_900006735.1,Scaffold
GCF_900006745.1,Scaffold
GCF_900006845.1,Scaffold
GCF_900006855.1,Scaffold
GCF_900006865.1,Scaffold
GCF_900006945.1,Scaffold
GCF_900033555.1,Scaffold
GCF_900109865.1,Contig
GCF_900119525.1,Scaffold
GCF_900240155.1,Chromosome
GCF_900240185.1,Chromosome
GCF_900458635.1,Contig
GCF_900458745.1,Contig
GCF_947495435.1,Contig
